ZI,NAME,LBF,UE19B,PU19B,UE07MAR,PU07MAR,UE14MAR,PU14MAR,UE21MAR,PU21MAR,UE28MAR,PU28MAR,UE04APR,PU04APR,UE11APR,PU11APR,UE18APR,PU18APR,UE25APR,PU25APR,UE02MAY,PU02MAY,UE09MAY,PU09MAY,UE16MAY,PU16MAY
"00015","Coronado Ntl Forest",1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00016","Sequoia National Forest",8,0,0.00,0,0.00,0,0.00,1,12.50,1,12.50,2,25.00,2,25.00,2,25.00,2,25.00,2,25.00,3,37.50,3,37.50
"00017","Northeast Fresno County",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00018","Los Padres Ntl Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00019","Lassen Ntl Forest",11,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18,2,18.18
"00020","Sierra National Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00022","Jackson St Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00026","East Tulare County",2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00027","Pike Ntl Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00028","Plumas Ntl Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00029","Tahoe National Forest",1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00031","Lassen National Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00032","Los Padres Ntl Forest",2,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00033","Tahoe National Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00034","Klamath National Forest",21,2,9.52,2,9.52,2,9.52,2,9.52,3,14.29,4,19.05,4,19.05,5,23.81,5,23.81,5,23.81,5,23.81,6,28.57
"00035","Modoc/Shasta/Klamath for",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00037","West Tehama County",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00038","East Tehama County",7,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29,1,14.29
"00039","Southeast Trinity County",21,2,9.52,2,9.52,2,9.52,2,9.52,3,14.29,4,19.05,5,23.81,5,23.81,6,28.57,6,28.57,6,28.57,6,28.57
"00040","Yosemite Ntl Park",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00041","West Broward County",10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,10.00
"00042","Southwest Brevard Cnty",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00043","Everglades",179,10,5.59,10,5.59,10,5.59,11,6.15,14,7.82,16,8.94,18,10.06,25,13.97,31,17.32,33,18.44,36,20.11,39,21.79
"00044","South Alpine County",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00045","Southeast Marion Cnty",1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00047","West Glenn County",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00048","Mendocino Ntl Forest",1,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00049","Six Rivers National Fore",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
"00050","Six Rivers Ntl Forest",0,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
